Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
16595.7	3.36658	3.08689	3.23226	3.19344	3.2045	0.324807	1.57545	-4.68926	4.05855	3.09598	0.227092	-28.044	0	289.971	280.971	0.000162144	4.47751	2.50413e-05	1.5187e-05	4.7814	5.02728e-06	1.56089e-05	-0.0556416	0.0623782	8.81324	
16846.7	3.36685	3.08687	3.23224	3.19341	3.20446	0.324806	1.57544	-4.68916	4.05858	3.09601	0.227087	-28.0442	0	289.972	280.972	0.000162143	4.47688	2.50431e-05	1.5185e-05	4.78159	5.02716e-06	1.56085e-05	-0.0556518	0.062372	8.81317	
17097.4	3.36711	3.08685	3.23221	3.19337	3.20442	0.324805	1.57544	-4.68906	4.05862	3.09605	0.227081	-28.0445	0	289.972	280.972	0.000162142	4.47625	2.50449e-05	1.5183e-05	4.78178	5.02704e-06	1.56081e-05	-0.0556619	0.0623657	8.81311	
17348	3.36738	3.08682	3.23219	3.19334	3.20438	0.324804	1.57543	-4.68896	4.05866	3.09609	0.227076	-28.0447	0	289.973	280.973	0.000162142	4.47562	2.50466e-05	1.51812e-05	4.78197	5.02692e-06	1.56076e-05	-0.055672	0.0623595	8.81304	
17599.5	3.36764	3.0868	3.23216	3.1933	3.20434	0.324803	1.57543	-4.68887	4.0587	3.09613	0.227071	-28.0449	0	289.974	280.974	0.000162141	4.475	2.50483e-05	1.51794e-05	4.78215	5.0268e-06	1.56072e-05	-0.0556821	0.0623532	8.81298	
17853.5	3.36791	3.08678	3.23214	3.19327	3.2043	0.324802	1.57542	-4.68877	4.05874	3.09616	0.227066	-28.0451	0	289.974	280.974	0.000162141	4.47437	2.50499e-05	1.51777e-05	4.78234	5.02667e-06	1.56068e-05	-0.0556923	0.0623469	8.81291	
18104.6	3.36818	3.08676	3.23211	3.19323	3.20427	0.324801	1.57542	-4.68868	4.05878	3.0962	0.22706	-28.0453	0	289.975	280.975	0.00016214	4.47375	2.50514e-05	1.51761e-05	4.78252	5.02655e-06	1.56064e-05	-0.0557024	0.0623408	8.81285	
18355.3	3.36844	3.08673	3.23209	3.1932	3.20423	0.3248	1.57541	-4.68858	4.05881	3.09623	0.227055	-28.0455	0	289.975	280.975	0.00016214	4.47314	2.50528e-05	1.51745e-05	4.7827	5.02644e-06	1.5606e-05	-0.0557123	0.0623346	8.81279	
18605.9	3.3687	3.08671	3.23207	3.19317	3.20419	0.324799	1.57541	-4.68849	4.05885	3.09627	0.22705	-28.0457	0	289.976	280.976	0.00016214	4.47253	2.50542e-05	1.5173e-05	4.78288	5.02632e-06	1.56056e-05	-0.0557222	0.0623286	8.81272	
18857.4	3.36896	3.08669	3.23204	3.19313	3.20415	0.324798	1.5754	-4.68839	4.05888	3.0963	0.227045	-28.046	0	289.976	280.976	0.000162139	4.47192	2.50555e-05	1.51716e-05	4.78305	5.0262e-06	1.56052e-05	-0.0557321	0.0623225	8.81266	
19111.4	3.36922	3.08667	3.23202	3.1931	3.20411	0.324797	1.5754	-4.6883	4.05892	3.09633	0.22704	-28.0462	0	289.977	280.977	0.000162139	4.47131	2.50568e-05	1.51702e-05	4.78323	5.02608e-06	1.56048e-05	-0.055742	0.0623164	8.8126	
19362.4	3.36947	3.08665	3.23199	3.19306	3.20408	0.324796	1.57539	-4.68821	4.05895	3.09637	0.227035	-28.0464	0	289.978	280.978	0.000162138	4.47071	2.5058e-05	1.5169e-05	4.7834	5.02597e-06	1.56044e-05	-0.0557517	0.0623105	8.81254	
19613.1	3.36973	3.08663	3.23197	3.19303	3.20404	0.324796	1.57539	-4.68812	4.05899	3.0964	0.22703	-28.0466	0	289.978	280.978	0.000162138	4.47012	2.50591e-05	1.51677e-05	4.78357	5.02585e-06	1.56041e-05	-0.0557614	0.0623045	8.81248	
19863.7	3.36998	3.0866	3.23195	3.193	3.204	0.324795	1.57538	-4.68803	4.05902	3.09643	0.227025	-28.0468	0	289.979	280.979	0.000162138	4.46953	2.50602e-05	1.51665e-05	4.78374	5.02574e-06	1.56037e-05	-0.055771	0.0622987	8.81241	
20114.3	4.00147	3.11018	3.23285	3.19625	3.20404	0.324954	1.57543	-5.56854	3.27994	3.06513	0.193074	-29.4248	6.85442e-06	291.218	282.218	0.000162217	4.47994	2.51718e-05	1.50746e-05	4.26038	4.78026e-06	1.48465e-05	-0.0703801	0.0624025	8.67329	
20365.1	5.04021	3.15416	3.24178	3.21368	3.20658	0.325355	1.57596	-6.30172	2.34791	2.82026	0.132821	-31.2561	2.19006e-05	292.882	283.882	0.000162417	4.29927	2.22588e-05	1.80373e-05	3.67873	4.47002e-06	1.38945e-05	-0.0876552	0.0606245	8.48819	
20615.2	5.38383	3.17679	3.25619	3.22927	3.21356	0.325623	1.57678	-6.1167	2.38022	2.53593	0.108604	-31.4497	3e-05	293.358	284.358	0.000162551	4.05252	1.65648e-05	2.37645e-05	3.87738	4.38579e-06	1.36403e-05	-0.0916487	0.0582777	8.43569	
20866.9	5.29142	3.18362	3.27117	3.23872	3.22344	0.325774	1.57763	-5.84302	2.64212	2.36367	0.109167	-31.0727	3e-05	293.233	284.233	0.000162626	3.88228	1.28161e-05	2.75319e-05	4.07176	4.40872e-06	1.37159e-05	-0.0898053	0.0567117	8.44945	
21119	5.2363	3.1912	3.28511	3.24816	3.23403	0.325928	1.57845	-5.83448	2.65207	2.24455	0.109511	-31.0102	3e-05	293.158	284.158	0.000162703	3.78242	1.12548e-05	2.91122e-05	4.07533	4.42291e-06	1.37645e-05	-0.0884221	0.0558128	8.45779	
21370.7	5.20617	3.20007	3.29831	3.25837	3.24509	0.326084	1.57925	-5.89924	2.59013	2.14219	0.109702	-31.0473	3e-05	293.116	284.116	0.000162781	3.73051	9.67934e-06	3.07071e-05	4.05115	4.43107e-06	1.37943e-05	-0.0873358	0.0553512	8.46238	
21622	5.19242	3.20992	3.31099	3.26925	3.25644	0.326242	1.58004	-5.98295	2.50814	2.04597	0.109792	-31.1186	3e-05	293.097	284.097	0.00016286	3.7098	9.14303e-06	3.12629e-05	4.00255	4.4352e-06	1.38117e-05	-0.0864348	0.0551681	8.46449	
21874.4	5.1896	3.22037	3.3233	3.28049	3.26782	0.326402	1.58083	-6.07117	2.42025	1.95191	0.109812	-31.204	3e-05	293.093	284.093	0.00016294	3.70504	9.39986e-06	3.1026e-05	3.93472	4.43661e-06	1.38207e-05	-0.0856685	0.055126	8.46492	
22125.5	5.19464	3.23095	3.33516	3.2917	3.27895	0.326563	1.58161	-6.15903	2.33169	1.85978	0.109784	-31.2956	3e-05	293.1	284.1	0.00016302	3.70753	1.0034e-05	3.04118e-05	3.85462	4.43606e-06	1.38236e-05	-0.084996	0.055148	8.46414	
22376.7	5.20539	3.24159	3.34667	3.30279	3.28983	0.326726	1.5824	-6.2459	2.24307	1.76871	0.109719	-31.3912	3e-05	293.115	284.115	0.000163102	3.7129	1.08002e-05	2.96658e-05	3.76676	4.43409e-06	1.38221e-05	-0.0844469	0.0551954	8.4625	
22629.3	5.22078	3.25223	3.35794	3.31375	3.30051	0.326892	1.58319	-6.3321	2.15436	1.67801	0.109626	-31.4899	3e-05	293.136	284.136	0.000163184	3.71907	1.16494e-05	2.88371e-05	3.67486	4.43099e-06	1.38172e-05	-0.0839782	0.0552499	8.46015	
22881	5.23992	3.26268	3.36892	3.32446	3.31088	0.327059	1.58399	-6.41689	2.06661	1.58841	0.10951	-31.5903	3e-05	293.163	284.163	0.000163268	3.72496	1.23948e-05	2.81124e-05	3.57972	4.42699e-06	1.38094e-05	-0.0835555	0.055302	8.45724	
