Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp
16334.7	3.36509	3.08656	3.23193	3.19311	3.20419	0.32478	1.57532	-4.68846	4.06038	3.09783	0.22718	-28.0415	0	289.962	280.962	0.00016213	4.4771	2.50316e-05	1.51934e-05	4.78338	5.0291e-06	1.56137e-05	-0.055654	0.0623742	8.81432	0.014427	0.0143809	
16585.7	3.36538	3.08654	3.23191	3.19308	3.20415	0.324779	1.57531	-4.68835	4.06042	3.09786	0.227173	-28.0417	0	289.962	280.962	0.00016213	4.47646	2.50336e-05	1.51912e-05	4.78356	5.02894e-06	1.56131e-05	-0.0556644	0.0623678	8.81423	0.014427	0.0143809	
16836.4	3.36567	3.08652	3.23188	3.19304	3.20411	0.324778	1.57531	-4.68824	4.06045	3.09789	0.227166	-28.0419	0	289.963	280.963	0.000162129	4.47582	2.50356e-05	1.51891e-05	4.78375	5.02878e-06	1.56126e-05	-0.0556747	0.0623614	8.81415	0.014427	0.0143809	
17087	3.36596	3.0865	3.23186	3.19301	3.20407	0.324776	1.5753	-4.68813	4.06048	3.09792	0.227159	-28.0422	0	289.964	280.964	0.000162128	4.47519	2.50374e-05	1.5187e-05	4.78393	5.02862e-06	1.56121e-05	-0.055685	0.0623551	8.81406	0.014427	0.0143809	
17338.5	3.36625	3.08647	3.23183	3.19297	3.20403	0.324775	1.57529	-4.68802	4.06051	3.09795	0.227152	-28.0424	0	289.965	280.965	0.000162128	4.47455	2.50392e-05	1.51851e-05	4.78412	5.02847e-06	1.56115e-05	-0.0556953	0.0623488	8.81398	0.014427	0.0143809	
17592.5	3.36654	3.08645	3.23181	3.19293	3.20399	0.324774	1.57529	-4.68791	4.06054	3.09798	0.227146	-28.0426	0	289.965	280.965	0.000162127	4.47391	2.5041e-05	1.51831e-05	4.7843	5.02831e-06	1.5611e-05	-0.0557057	0.0623424	8.81389	0.014427	0.0143809	
17843.6	3.36683	3.08643	3.23178	3.1929	3.20395	0.324773	1.57528	-4.68781	4.06057	3.09801	0.227139	-28.0429	0	289.966	280.966	0.000162126	4.47328	2.50427e-05	1.51813e-05	4.78448	5.02815e-06	1.56105e-05	-0.0557159	0.0623361	8.81381	0.014427	0.0143809	
18094.3	3.36711	3.08641	3.23176	3.19286	3.20391	0.324771	1.57527	-4.6877	4.0606	3.09804	0.227132	-28.0431	0	289.967	280.967	0.000162126	4.47266	2.50443e-05	1.51796e-05	4.78465	5.028e-06	1.56099e-05	-0.055726	0.0623299	8.81373	0.014427	0.0143809	
18344.9	3.3674	3.08638	3.23173	3.19283	3.20387	0.32477	1.57527	-4.68759	4.06063	3.09807	0.227125	-28.0433	0	289.968	280.968	0.000162125	4.47204	2.50458e-05	1.51779e-05	4.78483	5.02784e-06	1.56094e-05	-0.0557361	0.0623237	8.81365	0.014427	0.0143809	
18596.4	3.36768	3.08636	3.23171	3.1928	3.20383	0.324769	1.57526	-4.68749	4.06066	3.0981	0.227119	-28.0435	0	289.968	280.968	0.000162125	4.47142	2.50472e-05	1.51764e-05	4.785	5.02769e-06	1.56089e-05	-0.0557461	0.0623175	8.81356	0.014427	0.0143809	
