Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
16334	3.3658	3.08669	3.23207	3.19326	3.20432	0.324802	1.57542	-4.68838	4.05959	3.09698	0.227107	-28.0422	0	289.97	280.97	0.000162141	4.47784	2.50365e-05	1.51912e-05	4.78235	5.0276e-06	1.56097e-05	-0.055636	0.0623815	8.81342	
16585.1	3.36607	3.08667	3.23204	3.19322	3.20429	0.324801	1.57542	-4.68829	4.05963	3.09702	0.227102	-28.0425	0	289.97	280.97	0.00016214	4.4772	2.50384e-05	1.51891e-05	4.78254	5.02747e-06	1.56093e-05	-0.0556463	0.0623752	8.81336	
16835.8	3.36634	3.08665	3.23202	3.19319	3.20425	0.324799	1.57541	-4.68819	4.05967	3.09706	0.227097	-28.0427	0	289.971	280.971	0.00016214	4.47656	2.50403e-05	1.5187e-05	4.78273	5.02735e-06	1.56088e-05	-0.0556565	0.0623688	8.81329	
17086.4	3.36661	3.08662	3.23199	3.19315	3.20421	0.324798	1.57541	-4.68809	4.0597	3.09709	0.227091	-28.0429	0	289.971	280.971	0.000162139	4.47593	2.50421e-05	1.51851e-05	4.78292	5.02723e-06	1.56084e-05	-0.0556668	0.0623625	8.81323	
17337.9	3.36688	3.0866	3.23197	3.19312	3.20417	0.324797	1.5754	-4.68799	4.05974	3.09713	0.227086	-28.0431	0	289.972	280.972	0.000162139	4.4753	2.50438e-05	1.51832e-05	4.78311	5.0271e-06	1.5608e-05	-0.055677	0.0623562	8.81316	
17591.9	3.36715	3.08658	3.23194	3.19308	3.20413	0.324796	1.57539	-4.6879	4.05978	3.09716	0.227081	-28.0433	0	289.973	280.973	0.000162138	4.47466	2.50455e-05	1.51814e-05	4.78329	5.02698e-06	1.56076e-05	-0.0556874	0.0623498	8.8131	
17842.9	3.36742	3.08656	3.23192	3.19304	3.20409	0.324795	1.57539	-4.6878	4.05981	3.0972	0.227075	-28.0436	0	289.973	280.973	0.000162138	4.47403	2.50471e-05	1.51797e-05	4.78348	5.02686e-06	1.56072e-05	-0.0556975	0.0623436	8.81303	
18093.6	3.36769	3.08653	3.23189	3.19301	3.20405	0.324794	1.57538	-4.68771	4.05985	3.09723	0.22707	-28.0438	0	289.974	280.974	0.000162137	4.47341	2.50487e-05	1.5178e-05	4.78366	5.02673e-06	1.56068e-05	-0.0557076	0.0623373	8.81297	
18344.2	3.36795	3.08651	3.23187	3.19298	3.20401	0.324793	1.57538	-4.68761	4.05989	3.09727	0.227065	-28.044	0	289.974	280.974	0.000162137	4.47279	2.50501e-05	1.51764e-05	4.78384	5.02661e-06	1.56064e-05	-0.0557177	0.0623312	8.8129	
18595.7	3.36822	3.08649	3.23184	3.19294	3.20397	0.324792	1.57537	-4.68752	4.05992	3.0973	0.22706	-28.0442	0	289.975	280.975	0.000162136	4.47217	2.50515e-05	1.51749e-05	4.78402	5.02649e-06	1.5606e-05	-0.0557277	0.062325	8.81284	
18849.7	3.36848	3.08647	3.23182	3.19291	3.20393	0.324791	1.57537	-4.68743	4.05996	3.09733	0.227054	-28.0444	0	289.975	280.975	0.000162136	4.47155	2.50529e-05	1.51734e-05	4.7842	5.02637e-06	1.56056e-05	-0.0557378	0.0623188	8.81278	
19100.8	3.36874	3.08645	3.23179	3.19287	3.20389	0.32479	1.57536	-4.68734	4.05999	3.09736	0.227049	-28.0446	0	289.976	280.976	0.000162135	4.47094	2.50541e-05	1.51721e-05	4.78437	5.02626e-06	1.56052e-05	-0.0557477	0.0623127	8.81271	
19351.4	3.369	3.08642	3.23177	3.19284	3.20386	0.32479	1.57536	-4.68725	4.06002	3.0974	0.227044	-28.0449	0	289.976	280.976	0.000162135	4.47033	2.50554e-05	1.51708e-05	4.78454	5.02614e-06	1.56048e-05	-0.0557576	0.0623067	8.81265	
19602.1	3.36926	3.0864	3.23175	3.1928	3.20382	0.324789	1.57536	-4.68716	4.06006	3.09743	0.227039	-28.0451	0	289.977	280.977	0.000162135	4.46974	2.50565e-05	1.51695e-05	4.78471	5.02602e-06	1.56044e-05	-0.0557673	0.0623008	8.81259	
19853.5	3.36951	3.08638	3.23172	3.19277	3.20378	0.324788	1.57535	-4.68707	4.06009	3.09746	0.227034	-28.0453	0	289.978	280.978	0.000162134	4.46914	2.50576e-05	1.51683e-05	4.78488	5.02591e-06	1.5604e-05	-0.055777	0.0622948	8.81253	
20105.3	6.01782	3.17142	3.23576	3.20926	3.20418	0.325439	1.57557	-8.69318	0.0897834	2.90322	0.106242	-34.2917	0.0003	294.161	285.161	0.000162459	4.47689	2.51787e-05	1.51278e-05	1.77641	4.24451e-06	1.31959e-05	-0.100774	0.0623721	8.34744	
20356	7.15703	3.22662	3.25726	3.24501	3.21243	0.325961	1.57679	-9.33252	-0.776961	2.10349	0.100204	-35.8178	0.0003	295.412	286.412	0.00016272	4.04366	1.55797e-05	2.47915e-05	1.87058	4.03674e-06	1.25635e-05	-0.110364	0.0581951	8.21096	
20607	8.19814	3.27267	3.28612	3.27524	3.22958	0.326452	1.5783	-9.89558	-1.49628	1.30799	0.0962622	-37.0108	0.0003	296.391	287.391	0.000162965	3.69685	2.29704e-06	3.81349e-05	2.15078	3.88142e-06	1.20924e-05	-0.117294	0.0550539	8.10486	
20857	9.16896	3.32134	3.32088	3.31082	3.25475	0.326962	1.58004	-10.4399	-2.16462	0.537508	0.0931374	-38.0831	0.0003	297.199	288.199	0.000163219	3.45507	-1.51778e-05	5.5673e-05	2.52978	3.75833e-06	1.17213e-05	-0.122203	0.0529648	8.01795	
21108.3	8.56171	3.35031	3.36175	3.3505	3.28907	0.327371	1.58197	-8.54491	-0.787625	-0.173651	0.159585	-36.568	0	296.704	287.704	0.000163424	3.30105	-3.30155e-05	7.35613e-05	3.39014	3.83597e-06	1.19735e-05	-0.116449	0.0516755	8.07111	
21359.2	7.80879	3.35212	3.39552	3.36529	3.32215	0.327492	1.5836	-7.92475	0.202356	-0.300189	0.177524	-34.8955	0	296.04	287.04	0.000163484	3.33855	-1.86307e-05	5.91915e-05	3.4702	3.94112e-06	1.23049e-05	-0.109903	0.0519865	8.14279	
21609.3	7.41602	3.36546	3.42296	3.38646	3.34841	0.32773	1.5851	-7.7862	0.369634	-0.345952	0.180231	-34.5114	0	295.668	286.668	0.000163603	3.35267	-9.19156e-06	4.97818e-05	3.30197	4.002e-06	1.25011e-05	-0.105403	0.0521041	8.18312	
21859.5	7.0829	3.37709	3.44615	3.40509	3.37043	0.327956	1.5865	-7.75546	0.431541	-0.365169	0.182678	-34.2684	0	295.337	286.337	0.000163716	3.35754	-1.34947e-06	4.19677e-05	3.04788	4.05707e-06	1.2679e-05	-0.101255	0.0521447	8.21913	
22111.5	6.80152	3.38658	3.46565	3.42075	3.38867	0.328174	1.58783	-7.76075	0.455894	-0.37524	0.184867	-34.0893	0	295.044	286.044	0.000163825	3.35112	7.00773e-06	3.36376e-05	2.61424	4.10635e-06	1.28387e-05	-0.0975048	0.0520912	8.25095	
