Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp	Eros
176350	4.17722	3.45021	3.60965	3.56	3.5659	0.362645	1.75952	-5.89725	2.65602	1.68318	0.210623	-30.1246	0	291.833	282.833	0.000181033	4.76725	3.13297e-05	1.3585e-05	3.2428	4.8371e-06	1.61601e-05	-0.0452778	0.0653382	8.6046	0.014427	0.0143838	4.31482e-05	
176602	4.17681	3.45009	3.60954	3.55988	3.56579	0.362664	1.75962	-5.8955	2.65786	1.68496	0.21063	-30.1225	0	291.832	282.832	0.000181042	4.76698	3.13267e-05	1.35903e-05	3.24466	4.83735e-06	1.61615e-05	-0.0452785	0.0653353	8.60469	0.014427	0.0143838	4.31495e-05	
176854	4.17641	3.44996	3.60943	3.55976	3.56568	0.362683	1.75971	-5.89374	2.6597	1.68674	0.210637	-30.1203	0	291.831	282.831	0.000181051	4.76671	3.13237e-05	1.35956e-05	3.2465	4.83761e-06	1.61629e-05	-0.0452785	0.0653325	8.60479	0.014427	0.0143838	4.31508e-05	
177107	4.176	3.44984	3.60932	3.55964	3.56557	0.362701	1.7598	-5.892	2.66153	1.68851	0.210644	-30.1182	0	291.831	282.831	0.000181061	4.76644	3.13207e-05	1.36009e-05	3.24835	4.83786e-06	1.61642e-05	-0.045279	0.0653296	8.60488	0.014427	0.0143838	4.31521e-05	
177359	4.1756	3.44972	3.60921	3.55952	3.56546	0.36272	1.75989	-5.89025	2.66337	1.69028	0.210652	-30.116	0	291.83	282.83	0.00018107	4.76616	3.13177e-05	1.36062e-05	3.25019	4.83811e-06	1.61656e-05	-0.0452793	0.0653268	8.60497	0.014427	0.0143838	4.31534e-05	
177612	4.17519	3.4496	3.6091	3.5594	3.56535	0.362738	1.75998	-5.88851	2.6652	1.69204	0.210659	-30.1139	0	291.829	282.829	0.000181079	4.76589	3.13148e-05	1.36114e-05	3.25203	4.83836e-06	1.6167e-05	-0.0452798	0.0653239	8.60507	0.014427	0.0143838	4.31547e-05	
177864	4.17479	3.44948	3.609	3.55928	3.56524	0.362757	1.76007	-5.88677	2.66703	1.69381	0.210666	-30.1118	0	291.828	282.828	0.000181088	4.76562	3.13118e-05	1.36167e-05	3.25387	4.83861e-06	1.61684e-05	-0.04528	0.0653211	8.60516	0.014427	0.0143838	4.3156e-05	
178117	4.17439	3.44935	3.60889	3.55916	3.56513	0.362775	1.76016	-5.88503	2.66885	1.69557	0.210673	-30.1096	0	291.827	282.827	0.000181097	4.76535	3.13088e-05	1.36219e-05	3.2557	4.83885e-06	1.61697e-05	-0.0452801	0.0653183	8.60525	0.014427	0.0143838	4.31573e-05	
178369	4.17398	3.44923	3.60878	3.55905	3.56503	0.362793	1.76025	-5.88329	2.67067	1.69733	0.21068	-30.1075	0	291.826	282.826	0.000181106	4.76508	3.13058e-05	1.36272e-05	3.25753	4.8391e-06	1.61711e-05	-0.0452808	0.0653154	8.60535	0.014427	0.0143838	4.31586e-05	
178622	4.17358	3.44911	3.60867	3.55893	3.56492	0.362812	1.76034	-5.88156	2.6725	1.69909	0.210687	-30.1054	0	291.826	282.826	0.000181116	4.76481	3.13029e-05	1.36324e-05	3.25936	4.83935e-06	1.61724e-05	-0.0452809	0.0653126	8.60544	0.014427	0.0143838	4.31599e-05	
178874	4.17318	3.44899	3.60856	3.55881	3.56481	0.36283	1.76043	-5.87983	2.67431	1.70084	0.210694	-30.1032	0	291.825	282.825	0.000181125	4.76454	3.12999e-05	1.36376e-05	3.26119	4.8396e-06	1.61738e-05	-0.0452815	0.0653098	8.60553	0.014427	0.0143838	4.31611e-05	
179127	4.17278	3.44887	3.60845	3.55869	3.5647	0.362848	1.76052	-5.8781	2.67613	1.70259	0.210701	-30.1011	0	291.824	282.824	0.000181134	4.76427	3.1297e-05	1.36428e-05	3.26301	4.83985e-06	1.61751e-05	-0.0452819	0.065307	8.60562	0.014427	0.0143838	4.31624e-05	
179380	4.17238	3.44875	3.60834	3.55857	3.56459	0.362866	1.76061	-5.87638	2.67794	1.70434	0.210708	-30.099	0	291.823	282.823	0.000181143	4.764	3.1294e-05	1.36479e-05	3.26483	4.84009e-06	1.61765e-05	-0.0452824	0.0653042	8.60572	0.014427	0.0143838	4.31637e-05	
