"","Time","PCO2","SigCSurf","SigCDeep","AlkSurf","AlkDeep","PO4Surf","PO4Deep","d13CAtm","d13CSurf","d13CDeep","BioC","d13CBio","Inject","Stemp","Dtemp","Export","Lysocline","CalBurial","Dissolution","c13Diss","OrgBurial","PO4Burial","sCO3..Change","dCO3..Change","SAFrac","Assim","Resp","Eros","Kerogen"
"51",12561.2,3.36105,3.08693,3.23235,3.19367,3.20481,0.324807,1.57546,-4.69032,4.0596,3.09705,0.227275,-28.0386,0,289.951,280.951,0.000162143,4.48649,2.49912e-05,1.5237e-05,4.7802,5.03135e-06,1.56215e-05,-0.0555048,0.062468,8.81549,0.014427,0.0143809,4.61732e-05,2.87570328832084e-06
"52",12812.2,3.36132,3.08691,3.23232,3.19364,3.20477,0.324805,1.57545,-4.69021,4.05964,3.09709,0.227269,-28.0388,0,289.952,280.952,0.000162142,4.48588,2.49945e-05,1.52335e-05,4.78041,5.0312e-06,1.5621e-05,-0.0555144,0.0624619,8.81541,0.014427,0.0143809,4.6172e-05,2.87578762627788e-06
"53",13062.9,3.36159,3.08689,3.2323,3.1936,3.20474,0.324803,1.57544,-4.6901,4.05968,3.09714,0.227263,-28.039,0,289.953,280.953,0.000162142,4.48527,2.49976e-05,1.52301e-05,4.78061,5.03105e-06,1.56204e-05,-0.0555241,0.0624558,8.81533,0.014427,0.0143809,4.61709e-05,2.87587196916067e-06
"54",13313.5,3.36187,3.08687,3.23228,3.19357,3.2047,0.324801,1.57543,-4.68999,4.05972,3.09718,0.227256,-28.0392,0,289.953,280.953,0.000162141,4.48466,2.50007e-05,1.52268e-05,4.78081,5.03089e-06,1.56199e-05,-0.0555339,0.0624497,8.81525,0.014427,0.0143809,4.61697e-05,2.87597037541715e-06
"55",13565,3.36215,3.08685,3.23225,3.19354,3.20466,0.324799,1.57542,-4.68988,4.05976,3.09721,0.227249,-28.0394,0,289.954,280.954,0.00016214,4.48404,2.50037e-05,1.52236e-05,4.78102,5.03074e-06,1.56194e-05,-0.0555438,0.0624435,8.81517,0.014427,0.0143809,4.61685e-05,2.87606878838025e-06
"56",13819,3.36244,3.08683,3.23223,3.1935,3.20462,0.324797,1.57541,-4.68976,4.05979,3.09725,0.227243,-28.0396,0,289.955,280.955,0.000162139,4.48341,2.50067e-05,1.52204e-05,4.78122,5.03058e-06,1.56188e-05,-0.0555539,0.0624372,8.81509,0.014427,0.0143809,4.61672e-05,2.8761531476874e-06
"57",14070,3.36272,3.08681,3.2322,3.19347,3.20458,0.324796,1.5754,-4.68965,4.05983,3.09729,0.227236,-28.0399,0,289.956,280.956,0.000162138,4.48278,2.50095e-05,1.52173e-05,4.78142,5.03042e-06,1.56183e-05,-0.055564,0.0624309,8.815,0.014427,0.0143809,4.6166e-05,2.87625157310867e-06
"58",14320.7,3.36301,3.08679,3.23218,3.19343,3.20455,0.324794,1.57539,-4.68954,4.05986,3.09733,0.227229,-28.0401,0,289.956,280.956,0.000162137,4.48215,2.50123e-05,1.52144e-05,4.78162,5.03026e-06,1.56177e-05,-0.0555741,0.0624246,8.81492,0.014427,0.0143809,4.61648e-05,2.87635000523982e-06
"59",14571.3,3.36329,3.08677,3.23215,3.1934,3.20451,0.324792,1.57538,-4.68943,4.0599,3.09736,0.227222,-28.0403,0,289.957,280.957,0.000162136,4.48151,2.50149e-05,1.52115e-05,4.78182,5.0301e-06,1.56172e-05,-0.0555842,0.0624183,8.81484,0.014427,0.0143809,4.61635e-05,2.876448444082e-06
"60",14822.8,3.36358,3.08674,3.23213,3.19337,3.20447,0.324791,1.57537,-4.68931,4.05993,3.0974,0.227216,-28.0405,0,289.958,280.958,0.000162135,4.48088,2.50175e-05,1.52087e-05,4.78201,5.02994e-06,1.56166e-05,-0.0555945,0.0624119,8.81475,0.014427,0.0143809,4.61623e-05,2.87653282557473e-06
"61",15076.8,3.36387,3.08672,3.23211,3.19333,3.20443,0.324789,1.57537,-4.6892,4.05997,3.09743,0.227209,-28.0408,0,289.959,280.959,0.000162135,4.48023,2.50201e-05,1.5206e-05,4.78221,5.02978e-06,1.56161e-05,-0.0556048,0.0624054,8.81467,0.014427,0.0143809,4.6161e-05,2.87663127688327e-06
"62",15327.9,3.36417,3.0867,3.23208,3.1933,3.20439,0.324787,1.57536,-4.68909,4.06,3.09747,0.227202,-28.041,0,289.959,280.959,0.000162134,4.47959,2.50225e-05,1.52033e-05,4.7824,5.02962e-06,1.56155e-05,-0.0556151,0.062399,8.81458,0.014427,0.0143809,4.61598e-05,2.87672973490611e-06
"63",15578.6,3.36446,3.08668,3.23206,3.19326,3.20435,0.324786,1.57535,-4.68898,4.06003,3.0975,0.227195,-28.0412,0,289.96,280.96,0.000162133,4.47895,2.50249e-05,1.52008e-05,4.78259,5.02946e-06,1.5615e-05,-0.0556254,0.0623927,8.8145,0.014427,0.0143809,4.61585e-05,2.87682819964438e-06
"64",15829.2,3.36475,3.08666,3.23203,3.19323,3.20431,0.324784,1.57534,-4.68887,4.06007,3.09753,0.227188,-28.0415,0,289.961,280.961,0.000162132,4.47831,2.50271e-05,1.51983e-05,4.78278,5.0293e-06,1.56144e-05,-0.0556357,0.0623863,8.81442,0.014427,0.0143809,4.61573e-05,2.87692667109924e-06
"65",16080.7,3.36504,3.08664,3.23201,3.19319,3.20427,0.324783,1.57533,-4.68876,4.0601,3.09756,0.227181,-28.0417,0,289.962,280.962,0.000162132,4.47767,2.50293e-05,1.5196e-05,4.78297,5.02914e-06,1.56139e-05,-0.055646,0.0623799,8.81433,0.014427,0.0143809,4.6156e-05,2.87702514927183e-06
"66",16334.7,3.36533,3.08661,3.23198,3.19316,3.20423,0.324782,1.57533,-4.68865,4.06013,3.0976,0.227174,-28.0419,0,289.962,280.962,0.000162131,4.47702,2.50315e-05,1.51936e-05,4.78316,5.02898e-06,1.56133e-05,-0.0556565,0.0623734,8.81424,0.014427,0.0143809,4.61547e-05,2.8771236341633e-06
"67",16585.7,3.36563,3.08659,3.23196,3.19312,3.20419,0.32478,1.57532,-4.68854,4.06016,3.09763,0.227167,-28.0422,0,289.963,280.963,0.00016213,4.47638,2.50336e-05,1.51914e-05,4.78334,5.02882e-06,1.56128e-05,-0.0556668,0.062367,8.81416,0.014427,0.0143809,4.61535e-05,2.87722212577478e-06
"68",16836.4,3.36592,3.08657,3.23193,3.19309,3.20415,0.324779,1.57531,-4.68843,4.06019,3.09765,0.22716,-28.0424,0,289.964,280.964,0.00016213,4.47575,2.50355e-05,1.51893e-05,4.78353,5.02866e-06,1.56123e-05,-0.0556771,0.0623607,8.81408,0.014427,0.0143809,4.61522e-05,2.87732062410744e-06
"69",17087,3.36621,3.08655,3.23191,3.19305,3.20411,0.324778,1.57531,-4.68833,4.06022,3.09768,0.227153,-28.0426,0,289.965,280.965,0.000162129,4.47511,2.50374e-05,1.51872e-05,4.78371,5.0285e-06,1.56117e-05,-0.0556873,0.0623544,8.81399,0.014427,0.0143809,4.6151e-05,2.87741912916241e-06
"70",17338.5,3.3665,3.08653,3.23188,3.19302,3.20407,0.324776,1.5753,-4.68822,4.06025,3.09771,0.227147,-28.0429,0,289.965,280.965,0.000162128,4.47448,2.50392e-05,1.51852e-05,4.78389,5.02834e-06,1.56112e-05,-0.0556976,0.0623481,8.81391,0.014427,0.0143809,4.61497e-05,2.87750356741795e-06
"71",17592.5,3.36679,3.0865,3.23186,3.19298,3.20403,0.324775,1.57529,-4.68811,4.06028,3.09774,0.22714,-28.0431,0,289.966,280.966,0.000162128,4.47384,2.5041e-05,1.51833e-05,4.78407,5.02819e-06,1.56107e-05,-0.0557079,0.0623417,8.81382,0.014427,0.0143809,4.61485e-05,2.87760208496026e-06
"72",17843.6,3.36707,3.08648,3.23183,3.19295,3.20399,0.324774,1.57529,-4.68801,4.0603,3.09777,0.227133,-28.0434,0,289.967,280.967,0.000162127,4.47322,2.50427e-05,1.51815e-05,4.78424,5.02803e-06,1.56101e-05,-0.055718,0.0623354,8.81374,0.014427,0.0143809,4.61472e-05,2.87770060922816e-06
"73",18094.3,3.36736,3.08646,3.23181,3.19291,3.20396,0.324773,1.57528,-4.6879,4.06033,3.09779,0.227126,-28.0436,0,289.968,280.968,0.000162127,4.47259,2.50443e-05,1.51797e-05,4.78442,5.02787e-06,1.56096e-05,-0.0557281,0.0623292,8.81366,0.014427,0.0143809,4.6146e-05,2.87779914022281e-06
"74",18344.9,3.36764,3.08644,3.23178,3.19288,3.20392,0.324772,1.57528,-4.6878,4.06036,3.09782,0.22712,-28.0438,0,289.968,280.968,0.000162126,4.47198,2.50459e-05,1.5178e-05,4.78459,5.02772e-06,1.56091e-05,-0.0557381,0.0623231,8.81358,0.014427,0.0143809,4.61448e-05,2.87788360071588e-06
